Ngày,Đơn hàng,Khách hàng,Mã hàng,Tên hàng,ĐVT 1,ĐVT 2,Số lượng 1,Số lượng 2,Ngày dự kiến giao hàng,Ghi chú
9/7/2023,SO2309-0016,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455068G67CAMDW23.111A,"[111A] Bao TP-PP, màu cam, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW23 - 111A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,10000,670,9/20/2023,
9/7/2023,SO2309-0016,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455068G67TDUDW23.111B,"[111B] Bao TP-PP, màu trắng đục, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW23 - 111B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,5000,335,9/20/2023,
9/7/2023,SO2309-0017,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455066G70VBTDW23112A1,"[112A1] Bao TP-PP, màu vàng biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW23 - 112A1 [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,20000,1400,9/20/2023,
9/7/2023,SO2309-0017,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455066G70VBTDW23112A1,"[112A1] Bao TP-PP, màu vàng biên trong, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW23 - 112A1 [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,10000,700,9/20/2023,
9/7/2023,SO2309-0016,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455068G67VBTDW23112A2,"[112A2] Bao TP-PP, màu vàng biên trong, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW23 - 112A2. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,10000,670,9/20/2023,
9/7/2023,SO2309-0017,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455066G70CAMDW23.112B,"[112B] Bao TP-PP, màu cam, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW23 - 112B [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,5000,350,9/20/2023,
9/7/2023,SO2309-0016,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455068G67VBTDW23.113A,"[113A] Bao TP-PP, màu vàng biên trong, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW23 - 113A. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,10000,670,9/20/2023,
9/7/2023,SO2309-0016,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455068G67CBTDW23.113B,"[113B] Bao TP-PP, màu cam biên trong, may miệng luồn dây 130cm-2g, K45.5x68PB, lồng HDPE-K48x75x13g, TL: PP-52g + Dây-2g + PE-13g = 67g/bộ, MK: DW23 - 113B. [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,2000,134,9/20/2023,
9/7/2023,SO2309-0017,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455066G70CAMDW23.114A,"[114A] Bao TP-PP, màu cam, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW23 - 114A [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,3000,210,9/20/2023,
9/7/2023,SO2309-0017,P &  P DONGWON/ SEOGANG DISTRIBUTION,TPH455066G70CAMDW23.114B,"[114B] Bao TP-PP, màu cam, gập miệng vào trong 4cm (+/-1), K45.5x66PB, lồng HDPE-K48x75x13g, TL: PP-57g + PE-13g = 70g/bộ, MK: DW23 - 114B [Ép kiện: 500cái/kiện, bắn đai 5 ngang x 1 dọc]",Bộ,KG,3000,210,9/20/2023,
