S? ch?ng t?;NgÖy t?o;Ng??i t?o;Lo?i k? ho?ch;Ghi ch£ 1;M? v?t t?;Tàn v?t t?;?vt 1;S? l??ng (1);HSQ?;?vt 2;S? l??ng (2);Ghi ch£ 2;M?c ?°ch s? d?ng;NgÖy s? d?ng
EP2401-0070;22/01/2024;HÖ M?nh Hóng;Theo b? ph?n;V?t t? s? d?ng thay th? TBMM ph? v? s?n xu?t.;0901000400000000;?ng cÖng thoi - dÖi 310 ( theo m?u);ONG;60;1;ONG;60;;Thay th? s?a ch?a MMTB hÖng ngÖy.;29/01/2024
EP2403-0100;29/03/2024;?oÖn Ch° Nguy?n;Theo b? ph?n;DE XUAT DUNG CU VE SINH;5200109600000000;Ch?i nh?a;CAY;2;1;CAY;2;;VS NHA XUONG;10/04/2024
EP2310-0058;17/10/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? s? d?ng thay th? cho MMTB c?a phÉn x??ng d?t.;5200109600000000;Ch?i nh?a;CAY;10;1;CAY;10;;Thay th? s?a ch?a;30/10/2023
EP2310-0059;13/10/2023;Nguy?n Th? H??ng;Theo b? ph?n;Mua v?t t? xÉy d?ng lÖm m†i che ?¢ng balet vÖ s?a ???ng n??c sinh ho?t (ch£ H?i);0905500950000000;S?t h?p tr†ng k?m 30x60x1.4mm;CAY;10;1;CAY;10;;;18/10/2023
EP2401-0127;31/01/2024;HoÖng V?n Khiàm;Theo b? ph?n;MUA V?T T? L?M NH? R?C TH?I NGUY H?I V? KHU?N VI?N , M?I CHE X7;0905500950000000;S?t h?p tr†ng k?m 30x60x1.4mm;CAY;100;1;CAY;100;;;31/01/2024
EP2403-0065;20/03/2024;HoÖng V?n Khiàm;Theo b? ph?n;V?t T? lÖm m†i che sau x7 ( anh V? NhÉn S?);0905500950000000;S?t h?p tr†ng k?m 30x60x1.4mm;CAY;60;1;CAY;60;;;25/03/2024
EP2403-0039;13/03/2024;HoÖng V?n Khiàm;Theo b? ph?n;V?t T? chuy?n VP b†n TP làn Tràn L?u;0905500950000000;S?t h?p tr†ng k?m 30x60x1.4mm;CAY;9;1;CAY;9;;;15/03/2024
EP2407-0097;31/07/2024;??ng Th? M? H?nh;Theo b? ph?n;?? xu?t mua v?t t? xÉy d?ng lÖm m†i tìn X5+X6 vÖ c?i t?o c?n tin c?;0905500950000000;S?t h?p tr†ng k?m 30x60x1.4mm;CAY;80;1;CAY;80;;LÖm m†i tìn l?i ?i X5+X6;03/08/2024
EP2310-0059;13/10/2023;Nguy?n Th? H??ng;Theo b? ph?n;Mua v?t t? xÉy d?ng lÖm m†i che ?¢ng balet vÖ s?a ???ng n??c sinh ho?t (ch£ H?i);0907000190000000;N?i r?ng trong phi 21;CAI;2;1;CAI;2;;;18/10/2023
EP2310-0059;13/10/2023;Nguy?n Th? H??ng;Theo b? ph?n;Mua v?t t? xÉy d?ng lÖm m†i che ?¢ng balet vÖ s?a ???ng n??c sinh ho?t (ch£ H?i);0907000200000000;Co 21;CAI;5;1;CAI;5;;;18/10/2023
EP2401-0127;31/01/2024;HoÖng V?n Khiàm;Theo b? ph?n;MUA V?T T? L?M NH? R?C TH?I NGUY H?I V? KHU?N VI?N , M?I CHE X7;0907000200000000;Co 21;CAI;5;1;CAI;5;;;31/01/2024
EP2310-0063;18/10/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? s?a ch?a m†y m¢c thi?t b? khu v?c b†n thÖnh ph?m.;0908601190000000;B? d?ng c? l?y ?c g?y 6 c†i SKC 1816;BO;1;1;BO;1;;S?a ch?a thay th?.;25/10/2023
EP2310-0063;18/10/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? s?a ch?a m†y m¢c thi?t b? khu v?c b†n thÖnh ph?m.;0905500230000000;S?t la 30x3mm;MÇt;4;1;MÇt;4;;S?a ch?a thay th?.;25/10/2023
EP2310-0063;18/10/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? s?a ch?a m†y m¢c thi?t b? khu v?c b†n thÖnh ph?m.;0905501390000000;S?t la 55x6mm;MÇt;4;1;MÇt;4;;S?a ch?a thay th?.;25/10/2023
EP2310-0063;18/10/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? s?a ch?a m†y m¢c thi?t b? khu v?c b†n thÖnh ph?m.;0923700360000000;Bulong l?c gi†c ??u tr? M10x50.;CON;10;1;CON;10;0;S?a ch?a thay th?.;25/10/2023
EP2310-0067;19/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;H?t t?y ??i ?;HAT-TAYOP10;H?t t?y tr?ng quang h?c OP10 (??i ?);KG;50;1;KG;50;T?N KHO;;23/10/2023
EP2404-0010;03/04/2024;Nguy?n D?ng Trung;Theo b? ph?n;"B?ng keo Ph?n Quang
H?t nh?a PP kÇo s?i - T03
H?t t?y tr?ng quang h?c OP10 (??i ?)
H?t taical th?i HDPE IF-PE114C7 (??i ?)";HAT-TAYOP10;H?t t?y tr?ng quang h?c OP10 (??i ?);KG;300;1;KG;300;T?n kho;;06/04/2004
EP2401-0005;03/01/2024;Nguy?n D?ng Trung;Theo b? ph?n;"SO2401-0001 - China Plastic
SO2401-0002 - China Plastic
SO2401-0007 - 66 Lumut
SO2401-0008 - 66 Pasir
SO2401-0009 - 48 Lumut";HAT-TAYOP10;H?t t?y tr?ng quang h?c OP10 (??i ?);KG;200;1;KG;200;"SO2401-0005 - Mekong
SO2401-0006 - Mekong";;12/01/2024
EP2311-0105;29/11/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2311-0037 - KCP [SO T?NG]
HAT-LLDPE.THOI : 118WJ c?a sabic
HAT-LDPE.THOI : HP4024WN c?a sabic";HAT-TAYOP10;H?t t?y tr?ng quang h?c OP10 (??i ?);KG;130;1;KG;130;;;08/12/2023
EP2407-0083;25/07/2024;Nguy?n D?ng Trung;Theo b? ph?n;"Ch? may PP 900D
HAT-EMMV8C
HAT-EMPP-MF
HAT-TAYOP10";HAT-TAYOP10;H?t t?y tr?ng quang h?c OP10 (??i ?);KG;100;1;KG;100;T?N KHO;;10/08/2024
EP2310-0073;23/10/2023;Nguy?n Th? H??ng;Theo b? ph?n;NÉng chu?ng chim b? cÉu (lÖm gi£p ch£ h?i);0905500510000000;S?t h?p vuìng 40x40mm dÖy 1,4mm;CAY;1;1;CAY;1;S?t h?p 4 vuìng x 1.4ly;;25/10/2023
EP2311-0072;24/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051230000000;SPB-25KG;CM2;10000;1;CM2;10000;;;25/11/2023
EP2401-0081;22/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051230000000;SPB-25KG;CM2;10000;1;CM2;10000;;;24/01/2024
EP2404-0047;13/04/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051230000000;SPB-25KG;CM2;10000;1;CM2;10000;;;15/04/2024
EP2401-0123;31/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in;52001051230000000;SPB-25KG;CM2;10000;1;CM2;10000;;;02/01/2024
EP2401-0111;29/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051230000000;SPB-25KG;CM2;10000;1;CM2;10000;;;31/01/2024
EP2311-0004;02/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t b?n in cao su;52001051240000000;Balance -25kg;CM2;10000;1;CM2;10000;;;03/11/2023
EP2310-0075;25/10/2023;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU (?H MEKONG);52001051240000000;Balance -25kg;CM2;10000;1;CM2;10000;;IN;26/10/2023
EP2408-0006;01/08/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051240000000;Balance -25kg;CM2;10000;1;CM2;10000;;;03/08/2024
EP2405-0083;25/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051240000000;Balance -25kg;CM2;10000;1;CM2;10000;;;28/05/2024
EP2311-0072;24/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051260000000;BamBo-25kg;CM2;10000;1;CM2;10000;;;25/11/2023
EP2405-0017;06/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051280000000;Ha Long -40kg;CM2;10000;1;CM2;10000;;;08/05/2024
EP2310-0075;25/10/2023;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU (?H MEKONG);52001051280000000;Ha Long -40kg;CM2;10000;1;CM2;10000;;IN;26/10/2023
EP2310-0075;25/10/2023;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU (?H MEKONG);52001051310000000;CF2.X-40kg;CM2;10000;1;CM2;10000;;IN;26/10/2023
EP2407-0030;08/07/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051310000000;CF2.X-40kg;CM2;10000;1;CM2;10000;;;10/07/2024
EP2407-0045;13/07/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051310000000;CF2.X-40kg;CM2;10000;1;CM2;10000;;;16/07/2024
EP2401-0123;31/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in;52001051320000000;CF2.X-25kg;CM2;10000;1;CM2;10000;;;02/01/2024
EP2311-0072;24/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051320000000;CF2.X-25kg;CM2;10000;1;CM2;10000;;;25/11/2023
EP2312-0018;07/12/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051330000000;3 Red Roses-25kg;CM2;10000;1;CM2;10000;;;09/12/2023
EP2403-0037;13/03/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051340000000;JP1-40Kg;CM2;10000;1;CM2;10000;;;14/03/2024
EP2405-0040;14/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051340000000;JP1-40Kg;CM2;10000;1;CM2;10000;;;16/05/2024
EP2310-0075;25/10/2023;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU (?H MEKONG);52001051340000000;JP1-40Kg;CM2;10000;1;CM2;10000;;IN;26/10/2023
EP2310-0075;25/10/2023;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU (?H MEKONG);52001051350000000;Fairy-25kg;CM2;10000;1;CM2;10000;;IN;26/10/2023
EP2405-0030;09/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051350000000;Fairy-25kg;CM2;10000;1;CM2;10000;;;11/05/2024
EP2401-0123;31/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in;52001051350000000;Fairy-25kg;CM2;10000;1;CM2;10000;;;02/01/2024
EP2406-0017;06/06/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051350000000;Fairy-25kg;CM2;10000;1;CM2;10000;;;09/06/2024
EP2311-0072;24/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051370000000;MI A-40Kg;CM2;10000;1;CM2;10000;;;25/11/2023
EP2401-0034;12/01/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051380000000;SP8-40Kg(no line);CM2;10000;1;CM2;10000;;;13/01/2024
EP2310-0075;25/10/2023;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU (?H MEKONG);52001051380000000;SP8-40Kg(no line);CM2;10000;1;CM2;10000;;IN;26/10/2023
EP2404-0047;13/04/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051390000000;Chuyàn d?ng-25kg;CM2;10000;1;CM2;10000;;;15/04/2024
EP2310-0075;25/10/2023;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU (?H MEKONG);52001051410000000;3 Blue Roses-25kg;CM2;10000;1;CM2;10000;;IN;26/10/2023
EP2312-0087;28/12/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051420000000;JP1-25kg;CM2;10000;1;CM2;10000;;;29/12/2023
EP2310-0075;25/10/2023;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU (?H MEKONG);52001051430000000;TT3-40kg;CM2;10000;1;CM2;10000;;IN;26/10/2023
EP2310-0075;25/10/2023;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU (?H MEKONG);52001051440000000;Xich Lo-40kg;CM2;10000;1;CM2;10000;;IN;26/10/2023
EP2312-0033;12/12/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051470000000;AQ1-40Kg;CM2;10000;1;CM2;10000;;;13/12/2023
EP2310-0091;31/10/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051480000000;CF2.X-40Kg (Green);CM2;10000;1;CM2;10000;;;01/11/2023
EP2402-0050;28/02/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;52001051490000000;B?t Mç 26-40kg;CM2;10000;1;CM2;10000;;;01/03/2024
EP2310-0075;25/10/2023;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU (?H MEKONG);52001051490000000;B?t Mç 26-40kg;CM2;10000;1;CM2;10000;;IN;26/10/2023
EP2310-0078;25/10/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? thay th? cho m†y s?i LOHIA.;0922800010000000;LOGO 24RC-6ED1052-1HBOO-OBA5;CAI;2;1;CAI;2;;Thay th? m†y m¢c thi?t b?,;31/10/2023
EP2310-0079;26/10/2023;HoÖng V?n Khiàm;Theo b? ph?n;K? Ho?ch Phïng HCNS;0908700380000000;Bçnh th?y Tinh 2 L°t;CAI;1;1;CAI;1;;;26/10/2023
EP2310-0079;26/10/2023;HoÖng V?n Khiàm;Theo b? ph?n;K? Ho?ch Phïng HCNS;0901700030000000;Ly U?ng N??c;CAI;14;1;CAI;14;;;26/10/2023
EP2310-0080;26/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;TEM M?U JUMBO;10TEM-JP001-01-0001;"Tem bao Jumbo; KT: 12.0x14.0cm";CAI;100;1;CAI;100;;;30/10/2023
EP2406-0003;04/06/2024;Nguy?n D?ng Trung;Theo b? ph?n;"Tem bao Jumbo; KT: 12.0x14.0cm";10TEM-JP001-01-0001;"Tem bao Jumbo; KT: 12.0x14.0cm";CAI;10000;1;CAI;10000;T?N KHO;;06/06/2024
EP2310-0081;26/10/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? s?a ch?a m†y nÇn kh° KINGPOWER 75Kw - 100HP.;0902209870000000;MÖn hçnh m†y nÇn kh° KING POWER Model: MAM880 (B) (200) - Ck1321M004-1 (Hengcheng);CAI;1;1;CAI;1;;Thay th? s?a ch?a;29/10/2023
EP2310-0081;26/10/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? s?a ch?a m†y nÇn kh° KINGPOWER 75Kw - 100HP.;091960092000000;B? c?m van h£t m†y nÇn kh° KINGPOWER. Model : AIV - 85B -W YX.;BO;1;1;BO;1;;Thay th? s?a ch?a;29/10/2023
EP2310-0082;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;TI?P KH?CH NG?Y 27/10;0905100060000000;ChÇn ?n C?m;CAI;20;1;CAI;20;TI?P KH?CH NG?Y 27/10;;30/10/2023
EP2310-0082;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;TI?P KH?CH NG?Y 27/10;0905100070000000;ChÇn n??c m?m;CAI;6;1;CAI;6;TI?P KH?CH NG?Y 27/10;;30/10/2023
EP2310-0084;27/10/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? l?p ??t m†y s?i 01 vÖ l?p ??t c?t nhi?t cho m†y c?t.;0902204260000000;DÉy ?i?n m?m LION - VVCM - C4 X 35 mm2.;M;20;1;M;20;;L?p ??t MMTB;01/11/2023
EP2310-0082;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;TI?P KH?CH NG?Y 27/10;0905100080000000;??a Mu?i Tiàu;CAI;6;1;CAI;6;TI?P KH?CH NG?Y 27/10;;30/10/2023
EP2310-0082;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;TI?P KH?CH NG?Y 27/10;0905100090000000;??a ?n c?m;DOI;20;1;DOI;20;TI?P KH?CH NG?Y 27/10;;30/10/2023
EP2310-0082;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;TI?P KH?CH NG?Y 27/10;0905100100000000;??a Size Nh?;CAI;6;1;CAI;6;TI?P KH?CH NG?Y 27/10;;30/10/2023
EP2310-0082;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;TI?P KH?CH NG?Y 27/10;0905100110000000;??a size Trung;CAI;6;1;CAI;6;TI?P KH?CH NG?Y 27/10;;30/10/2023
EP2310-0082;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;TI?P KH?CH NG?Y 27/10;0905100120000000;??a size l?n;CAI;6;1;CAI;6;TI?P KH?CH NG?Y 27/10;;30/10/2023
EP2310-0082;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;TI?P KH?CH NG?Y 27/10;0905100130000000;Tì M£c Canh size Trung;CAI;5;1;CAI;5;TI?P KH?CH NG?Y 27/10;;30/10/2023
EP2310-0082;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;TI?P KH?CH NG?Y 27/10;0905100140000000;Tì M£c canh Size l?n;CAI;5;1;CAI;5;TI?P KH?CH NG?Y 27/10;;30/10/2023
EP2310-0083;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;D?NG C? B?P THI?N PH?T;5300101930000000;SÖn 2 b?p †;CAI;1;1;CAI;1;D?NG C? B?P THI?N PH?T;;30/10/2023
EP2310-0083;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;D?NG C? B?P THI?N PH?T;5300101940000000;Thóng ?† INOX 304;CAI;1;1;CAI;1;D?NG C? B?P THI?N PH?T;;30/10/2023
EP2310-0083;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;D?NG C? B?P THI?N PH?T;5300101950000000;H? sÖn b?p † ??n;CAI;1;1;CAI;1;D?NG C? B?P THI?N PH?T;;30/10/2023
EP2310-0083;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;D?NG C? B?P THI?N PH?T;5300101960000000;Khu r?a N?i Cao 300mm (ng?i R?a);CAI;1;1;CAI;1;D?NG C? B?P THI?N PH?T;;30/10/2023
EP2310-0083;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;D?NG C? B?P THI?N PH?T;5300101970000000;R? vo g?o 40cm;CAI;1;1;CAI;1;D?NG C? B?P THI?N PH?T;;30/10/2023
EP2310-0083;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;D?NG C? B?P THI?N PH?T;5300101980000000;K? 1 t?ng song Tràn b?n c?u;CAI;1;1;CAI;1;D?NG C? B?P THI?N PH?T;;30/10/2023
EP2310-0083;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;D?NG C? B?P THI?N PH?T;5300101990000000;K? 3 T?ng £p Ly c¢ khay h?ng n??c;CAI;1;1;CAI;1;D?NG C? B?P THI?N PH?T;;30/10/2023
EP2310-0083;27/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;D?NG C? B?P THI?N PH?T;5300102000000000;B?y M?;CAI;1;1;CAI;1;D?NG C? B?P THI?N PH?T;;30/10/2023
EP2310-0084;27/10/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? l?p ??t m†y s?i 01 vÖ l?p ??t c?t nhi?t cho m†y c?t.;0905400220000000;??u cosse trïn Nichifu  35-10;CAI;20;1;CAI;20;;L?p ??t MMTB;01/11/2023
EP2310-0084;27/10/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? l?p ??t m†y s?i 01 vÖ l?p ??t c?t nhi?t cho m†y c?t.;0906900260000000;CH?P M? mÖu V35 ( ?? - xanh - vÖng - ?en );CAI;40;1;CAI;40;;L?p ??t MMTB;01/11/2023
EP2310-0087;27/10/2023;Tr?n Th? Ph??ng;Theo b? ph?n;?? XU?T MUA K? MIC KA L?M B?NG HI?U KH?CH M?I ( NH?T ) NG?Y 27/10/2023;5300102010000000;K? mica A5.;CAI;10;1;CAI;10;;;31/10/2023
EP2311-0043;17/11/2023;Tr?n Th? Ph??ng;Theo b? ph?n;?? XU?T MUA VPP TH?NG 11.2023;5300102010000000;K? mica A5.;CAI;10;1;CAI;10;;;22/11/2023
EP2310-0088;30/10/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? th†y th? s?a ch?a m†y d?t 174, m†y s?i LH1 vÖ v?t t? d? phïng thay th? s?a ch?a PKT.;0927600088000000;B?c ??n SKF  6810 - 2Z/C3;CAI;10;1;CAI;10;;Thay th? d? phïng thay th?.;03/11/2023
EP2310-0088;30/10/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? th†y th? s?a ch?a m†y d?t 174, m†y s?i LH1 vÖ v?t t? d? phïng thay th? s?a ch?a PKT.;0905700320000000;Ph?t d?u SC 40x52x7mm;CAI;10;1;CAI;10;;Thay th? d? phïng thay th?.;03/11/2023
EP2407-0096;31/07/2024;HÖ M?nh Hóng;Theo b? ph?n;V?t t? s?a ch?a m†y m¢c thi?t b? ph?c v? s?n xu?t.;0905700320000000;Ph?t d?u SC 40x52x7mm;CAI;8;1;CAI;8;;Thay th? s?a ch?a MMTB ph?c v? s?n xu?t.;07/08/2024
EP2310-0089;30/10/2023;HoÖng V?n Khiàm;Theo b? ph?n;V?t t? thay b?n c?u viglacera (A H?i);0903900610000000;Van Nh?a 49;CAI;1;1;CAI;1;;;03/11/2023
EP2310-0089;30/10/2023;HoÖng V?n Khiàm;Theo b? ph?n;V?t t? thay b?n c?u viglacera (A H?i);090610210000000;N?i Gi?m 49/34;CAI;2;1;CAI;2;;;03/11/2023
EP2310-0089;30/10/2023;HoÖng V?n Khiàm;Theo b? ph?n;V?t t? thay b?n c?u viglacera (A H?i);0906100210000000;N?i Nh?a 34 (BM);CAI;2;1;CAI;2;;;03/11/2023
EP2310-0089;30/10/2023;HoÖng V?n Khiàm;Theo b? ph?n;V?t t? thay b?n c?u viglacera (A H?i);0904701110000000;Co nh?a 34 (BM);CAI;4;1;CAI;4;;;03/11/2023
EP2401-0083;23/01/2024;HoÖng V?n Khiàm;Theo b? ph?n;V?t t?u xÉy bo cÉy c?nh vÖ s?a d??ng ?ng n??c ( A H?I);0904701110000000;Co nh?a 34 (BM);CAI;4;1;CAI;4;;;25/01/2024
EP2310-0089;30/10/2023;HoÖng V?n Khiàm;Theo b? ph?n;V?t t? thay b?n c?u viglacera (A H?i);0901400320000000;B°t Nh?a Ren NgoÖi 21;CAI;5;1;CAI;5;;;03/11/2023
EP2310-0092;31/10/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? s?a d?ng s?a ch?a m†y m¢c thi?t b? ph?c v? s?n xu?t.;0908601200000000;B? L?c ?i?u ?p Kh° NÇn AIRTAC AFR2000 (L?c H?i Ren 13mm);BO;5;1;BO;5;;Thay th? s?a ch?a;10/11/2023
EP2310-0092;31/10/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? s?a d?ng s?a ch?a m†y m¢c thi?t b? ph?c v? s?n xu?t.;0908601210000000;Lï xo ty 0.7mm phi ngoÖi 6x24mm c¢ khoen trïn 2 ??u. (Theo m?u);CAI;10;1;CAI;10;;Thay th? s?a ch?a;10/11/2023
EP2310-0092;31/10/2023;HÖ M?nh Hóng;Theo b? ph?n;V?t t? s?a d?ng s?a ch?a m†y m¢c thi?t b? ph?c v? s?n xu?t.;0902209880000000;Bo ngu?n ?än b?t cìn tróng : AC220v/50HZ - HV-UOT-1.5V. (Theo m?u);CAI;2;1;CAI;2;;Thay th? s?a ch?a;10/11/2023
EP2401-0052;16/01/2024;HÖ M?nh Hóng;Theo b? ph?n;V?t t? s?a ch?a m†y m¢c phÉn x??ng BTP.;0902209880000000;Bo ngu?n ?än b?t cìn tróng : AC220v/50HZ - HV-UOT-1.5V. (Theo m?u);CAI;5;1;CAI;5;;S?a ch?a ?än b?t cìn tróng c†c phÉn x??ng.;22/01/2024
EP2311-0001;01/11/2023;??ng Th? M? H?nh;Theo b? ph?n;"?? xu?t mua: xÖ phïng r?a tay CN, xe v?t c¢ thóng lau nhÖ; n??c lau san nhÖ; n??c lau k°nh; swim";0908200100000000;Xe v?t vÖ Çp n??c lau sÖn nhÖ 2 ng?n AF08087;CAI;2;1;CAI;2;;Lau vp m?i;04/11/2023
EP2401-0105;26/01/2024;??ng Th? M? H?nh;Theo b? ph?n;?? xu?t mua gi?y v? sinh, ch?i c?, n??c lau nhÖ,Vim,N??c lau k°nh, bao tay cao su;0908200100000000;Xe v?t vÖ Çp n??c lau sÖn nhÖ 2 ng?n AF08087;CAI;2;1;CAI;2;;Dóng cho nhÖ v? sinh;30/01/2024
EP2404-0055;16/04/2024;??ng Th? M? H?nh;Theo b? ph?n;"?? xu?t mua : XÖ phïng r?a tay;ch?i ; xe thóng lau nhÖ";0908200100000000;Xe v?t vÖ Çp n??c lau sÖn nhÖ 2 ng?n AF08087;CAI;1;1;CAI;1;;;20/04/2024
EP2405-0008;03/05/2024;??ng Th? M? H?nh;Theo b? ph?n;?? xu?t mua xÖ phïng r?a tay cho cn+ ch?i+xe thóng lau nhÖ;0908200100000000;Xe v?t vÖ Çp n??c lau sÖn nhÖ 2 ng?n AF08087;CAI;2;1;CAI;2;;;05/05/2024
EP2404-0067;22/04/2024;Nguy?n D?ng Trung;Theo b? ph?n;SO2404-0021 - UNIPACK;10TEM-TU001-06-0001;Tem bao Jumbo UNP TU001-06-0001. K°ch th??c W4.5xL7.0 (inch);C†i;19830;0,001;KG;19,83;SO2404-0021 - UNIPACK;;26/04/2024
EP2311-0008;06/11/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2310-0054 - HARVEST (T?n kho 80k 02/11/2023)
SO2311-0001 - UNIPACK";10TEM-TU001-06-0001;Tem bao Jumbo UNP TU001-06-0001. K°ch th??c W4.5xL7.0 (inch);C†i;19900;0,001;KG;19,9;SO2311-0001 - UNIPACK;;14/11/2023
EP2407-0083;25/07/2024;Nguy?n D?ng Trung;Theo b? ph?n;"Ch? may PP 900D
HAT-EMMV8C
HAT-EMPP-MF
HAT-TAYOP10";10TEM-TU001-06-0001;Tem bao Jumbo UNP TU001-06-0001. K°ch th??c W4.5xL7.0 (inch);C†i;19850;0,001;KG;19,85;SO2407-0052;;03/08/2024
EP2406-0013;06/06/2024;Nguy?n D?ng Trung;Theo b? ph?n;D?Y ?AI + TEM;10TEM-TU001-06-0001;Tem bao Jumbo UNP TU001-06-0001. K°ch th??c W4.5xL7.0 (inch);C†i;4050;0,001;KG;4,05;SO2406-0007;;08/06/2024
EP2406-0013;06/06/2024;Nguy?n D?ng Trung;Theo b? ph?n;D?Y ?AI + TEM;10DAI-PPDE0-01-0205;DÉy ?ai PP, 2.0cm x 5.0g/m, M?N: 8, mÖu ?en.;M;5000;0,005;KG;25;SO2406-0007;;08/06/2024
EP2407-0083;25/07/2024;Nguy?n D?ng Trung;Theo b? ph?n;"Ch? may PP 900D
HAT-EMMV8C
HAT-EMPP-MF
HAT-TAYOP10";10DAI-PPDE0-01-0205;DÉy ?ai PP, 2.0cm x 5.0g/m, M?N: 8, mÖu ?en.;M;25000;0,005;KG;125;SO2407-0052;;31/07/2024
